City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kalmunai,7.42,81.82,78.4,85,36,8.57,LK,1611975828
Rikitea,-23.12,-134.97,80.46,70,38,9.26,PF,1611975828
Santa Maria,-29.68,-53.81,75.2,83,0,9.22,BR,1611975567
Butembo,0.15,29.28,59.54,69,12,2.66,CD,1611975829
Cidreira,-30.18,-50.21,75.16,89,39,4.92,BR,1611975829
Hermanus,-34.42,19.23,61,91,72,3.29,ZA,1611975829
Phek,25.67,94.5,52.48,67,0,0.31,IN,1611975830
Sladkovo,55.53,70.34,8.38,94,58,6.87,RU,1611975830
Colares,38.8,-9.45,59,100,100,20.33,PT,1611975830
Nemuro,43.32,145.57,30.2,86,75,6.91,JP,1611975757
Busselton,-33.65,115.33,82,45,0,4,AU,1611975627
Valparaíso,-33.04,-71.63,66,79,100,6.38,CL,1611975726
Zunyi,27.69,106.91,42.93,71,100,3.42,CN,1611975601
Russell,32.35,-85.2,44.6,80,1,0.6,US,1611975608
Lüderitz,-26.65,15.16,65.17,53,0,22.37,NA,1611975833
Mataura,-46.19,168.86,70.48,36,0,0.94,NZ,1611975833
Vao,-22.67,167.48,76.35,74,41,20.15,NC,1611975833
Guerrero Negro,27.98,-114.06,60.28,75,4,15.5,MX,1611975834
Yellowknife,62.46,-114.35,-18,76,1,9.22,CA,1611975834
Nikolskoye,59.7,30.79,30.2,93,90,8.95,RU,1611975834
Carnarvon,-24.87,113.63,105.8,21,0,18.41,AU,1611975835
Hambantota,6.12,81.12,75.2,100,20,4.61,LK,1611975835
Saint-Philippe,-21.36,55.77,78.8,57,0,6.91,RE,1611975836
Sinnamary,5.38,-52.95,77.29,88,96,12.84,GF,1611975836
Nome,64.5,-165.41,-2.2,60,1,21.85,US,1611975836
Kapaa,22.08,-159.32,75.2,78,40,16.11,US,1611975837
Tautira,-17.73,-149.15,82.4,69,75,13.8,PF,1611975837
Souillac,-20.52,57.52,78.8,89,75,4.61,MU,1611975837
Barrow,71.29,-156.79,-11.2,77,90,9.22,US,1611975838
Severo-Kuril'sk,50.68,156.12,24.76,90,100,16.06,RU,1611975569
Thompson,55.74,-97.86,10.4,85,90,5.75,CA,1611975838
Mindelo,16.89,-24.98,71.6,78,90,19.57,CV,1611975675
Leh,34.17,77.58,-0.13,64,0,1.32,IN,1611975839
Bluff,-46.6,168.33,54.3,72,0,14.85,NZ,1611975839
Boa Vista,2.82,-60.67,82.4,61,0,11.5,BR,1611975840
Kupang,-10.17,123.58,78.8,100,75,3.44,ID,1611975840
Hualmay,-11.1,-77.61,70.77,78,80,7.67,PE,1611975840
Vyborg,60.71,28.75,30.99,94,100,1.01,RU,1611975651
Half Moon Bay,37.46,-122.43,48.2,93,40,0.78,US,1611975841
Saquarema,-22.92,-42.51,82.4,83,0,9.22,BR,1611975841
Tuatapere,-46.13,167.68,65.68,46,0,6.13,NZ,1611975842
Beni,0.5,29.47,64.17,64,47,1.52,CD,1611975842
Avarua,-21.21,-159.78,84.2,74,20,5.75,CK,1611975843
Albany,42.6,-73.97,10.99,51,6,5.99,US,1611975843
Bijie,27.31,105.29,37.71,88,100,3.33,CN,1611975843
Puerto Ayora,-0.74,-90.35,78.01,95,44,5.99,EC,1611975844
Manokwari,-0.87,134.08,83.1,64,89,2.86,ID,1611975844
Saint Paul Harbor,57.79,-152.41,35.6,55,1,16.11,US,1611975845
Hobart,-42.88,147.33,71.6,60,75,11.5,AU,1611975845
Marzuq,14.4,46.47,54.77,38,0,1.99,YE,1611975845
Mahébourg,-20.41,57.7,78.8,89,75,4.61,MU,1611975845
Punta Arenas,-53.15,-70.92,46.4,81,40,20.71,CL,1611975833
Basco,20.45,121.97,69.4,73,41,24.58,PH,1611975846
Vaini,-21.2,-175.2,80.6,89,90,19.24,TO,1611975847
São Filipe,14.9,-24.5,74.64,55,97,9.78,CV,1611975847
Cape Town,-33.93,18.42,70,88,40,4.61,ZA,1611975554
Anloga,5.79,0.9,80.6,83,20,3.44,GH,1611975848
Narón,43.52,-8.15,55.99,82,20,10.36,ES,1611975581
Taurisano,39.96,18.21,57,94,0,9.22,IT,1611975849
Esim,4.87,-2.24,77.92,81,1,5.77,GH,1611975849
Hasaki,35.73,140.83,45,24,20,18.41,JP,1611975810
Itoman,26.12,127.67,66.2,45,40,16.11,JP,1611975850
Katsuura,35.13,140.3,46.4,31,20,14.97,JP,1611975850
Upernavik,72.79,-56.15,-8.64,83,1,10.49,GL,1611975850
Hithadhoo,-0.6,73.08,81.64,76,42,12.86,MV,1611975851
Khatanga,71.97,102.5,-43.28,75,0,3.24,RU,1611975851
Salalah,17.02,54.09,69.8,64,40,4.61,OM,1611975739
Beaufort,5.35,115.75,86,62,20,1.14,MY,1611975852
Kruisfontein,-34,24.73,55.99,89,0,3.8,ZA,1611975852
Ahipara,-35.17,173.17,67.82,66,71,3.94,NZ,1611975852
Sitka,57.05,-135.33,39.2,48,90,16.11,US,1611975853
Atuona,-9.8,-139.03,78.46,80,11,17.34,PF,1611975853
Berlevåg,70.86,29.09,24.69,95,100,16.51,NO,1611975853
Ushuaia,-54.8,-68.3,42.8,75,40,17.27,AR,1611975809
Saint-Augustin,51.23,-58.65,13.35,91,29,11.77,CA,1611975569
Saskylakh,71.92,114.08,-38.6,76,0,2.42,RU,1611975854
Rocky Mountain House,52.37,-114.92,1.4,78,0,2.3,CA,1611975802
Jamestown,42.1,-79.24,19,73,90,13.8,US,1611975856
Bethel,41.37,-73.41,14,52,1,5.75,US,1611975856
Manta,-0.95,-80.73,80.6,78,75,4.61,EC,1611975557
Yumen,40.28,97.2,26.64,69,0,22.21,CN,1611975858
Gorontalo,0.54,123.06,85.24,69,51,4.65,ID,1611975858
Kerema,-7.96,145.78,83.44,71,100,1.01,PG,1611975858
Atar,20.52,-13.05,65.17,27,30,11.34,MR,1611975859
Srednekolymsk,67.45,153.68,-31.65,84,99,1.74,RU,1611975859
Tazovsky,67.47,78.7,-37.89,79,0,4.27,RU,1611975859
Qaanaaq,77.48,-69.36,-13.36,62,0,5.57,GL,1611975860
East London,-33.02,27.91,69.3,72,35,2.86,ZA,1611975860
Methóni,36.82,21.7,55.99,86,100,1.14,GR,1611975861
Bathsheba,13.22,-59.52,77,78,40,9.22,BB,1611975668
Miranda de Ebro,42.69,-2.95,55.4,71,75,10.36,ES,1611975862
Yerbogachën,61.28,108.01,-40.47,79,52,7.16,RU,1611975862
The Valley,18.22,-63.06,77,83,40,5.75,AI,1611975863
Dikson,73.51,80.55,-33.39,84,97,7.94,RU,1611975863
Sittwe,20.15,92.9,68.95,45,22,5.91,MM,1611975863
Lompoc,34.64,-120.46,44.6,100,1,2.55,US,1611975864
Moss Vale,-34.55,150.38,79,73,75,10.36,AU,1611975864
Salé,34.04,-6.82,61,100,75,3.96,MA,1611975865
Seoul,37.57,126.98,32,64,20,5.75,KR,1611975792
Lebu,-37.62,-73.65,56.07,91,67,5.06,CL,1611975866
La Santisima Trinidad,-14.83,-64.9,75.69,92,100,4.43,BO,1611975866
Taoudenni,22.68,-3.98,66.15,26,0,11.41,ML,1611975867
Tuktoyaktuk,69.45,-133.04,-36.4,67,1,2.3,CA,1611975867
Katobu,-4.94,122.53,85.78,63,100,6.04,ID,1611975867
Bredasdorp,-34.53,20.04,61,91,93,4.03,ZA,1611975868
Lorengau,-2.02,147.27,85.08,75,100,10.69,PG,1611975868
Morbach,49.82,7.12,45,93,40,16.11,DE,1611975869
Flinders,-34.58,150.86,77,84,85,5.01,AU,1611975869
Palmer,42.16,-72.33,12,56,1,6.91,US,1611975870
Naliya,23.27,68.83,61.02,45,0,8.9,IN,1611975870
Maragogi,-9.01,-35.22,77.34,83,100,10.13,BR,1611975680
Faya,18.39,42.45,53.6,34,0,0.67,SA,1611975871
Liaozhong,41.51,122.72,12.2,40,0,11.18,CN,1611975871
Krasnyy Chikoy,50.36,108.75,5.02,90,100,2.35,RU,1611975871
Mount Gambier,-37.83,140.77,66.2,68,90,10.36,AU,1611975872
Byron Bay,-28.65,153.62,82.99,65,75,10.36,AU,1611975872
Hokitika,-42.72,170.97,62.78,58,0,8.41,NZ,1611975872
Arman',59.7,150.17,-12.33,79,37,13.04,RU,1611975601
Tasiilaq,65.61,-37.64,15.8,53,90,21.85,GL,1611975789
Touros,-5.2,-35.46,77,88,40,4.61,BR,1611975873
Castro,-24.79,-50.01,62.65,96,100,3.78,BR,1611975781
Baruun-Urt,46.68,113.28,0.84,93,87,9.4,MN,1611975739
Talnakh,69.49,88.4,-31.63,65,3,3,RU,1611975874
Vanavara,60.34,102.28,-37.73,78,52,9.35,RU,1611975875
Shache,38.42,77.24,22.91,82,0,2.42,CN,1611975875
Puyang,29.46,119.89,52.65,53,0,2.39,CN,1611975875
Paamiut,61.99,-49.67,33.51,83,90,8.28,GL,1611975876
Mar del Plata,-38,-57.56,66.99,88,96,15.05,AR,1611975876
Grand Gaube,-20.01,57.66,82,79,2,5.99,MU,1611975876
Christchurch,-43.53,172.63,66,45,40,4.61,NZ,1611975877
Bambous Virieux,-20.34,57.76,82,89,75,4.61,MU,1611975877
Suleja,9.18,7.18,73.96,20,1,8.46,NG,1611975877
Kolpny,52.23,37.04,17.94,97,30,9.73,RU,1611975878
Rostovka,55.38,71.89,6.98,94,88,6.13,RU,1611975878
Sloboda,51.14,40.3,30.51,97,100,14.14,RU,1611975879
Çay,38.59,31.03,30.38,86,90,5.61,TR,1611975879
Longyearbyen,78.22,15.64,-0.4,50,20,19.57,SJ,1611975880
Mahon,39.89,4.27,51.8,93,0,4.61,ES,1611975880
Bucine,43.48,11.61,48,92,63,2.28,IT,1611975880
Yangi Marg`ilon,40.43,71.72,26.6,59,41,6.91,UZ,1611975881
Camaná,-16.62,-72.71,69.66,78,0,7.52,PE,1611975881
Phalombe,-15.81,35.65,67.53,92,98,2.15,MW,1611975881
Giruá,-28.03,-54.35,69.01,94,13,7.92,BR,1611975655
Palimbang,6.21,124.19,85.44,58,92,2.98,PH,1611975882
Lagoa,39.05,-27.98,59.79,82,100,19.1,PT,1611975882
Adrar,20.5,-10.07,62.69,27,0,10.8,MR,1611975883
Arraial do Cabo,-22.97,-42.03,77,83,47,25.1,BR,1611975883
San Andrés,12.58,-81.7,80.6,69,20,11.5,CO,1611975884
Provideniya,64.38,-173.3,-7.35,81,6,3.69,RU,1611975884
Okitipupa,6.5,4.78,75.34,97,65,1.92,NG,1611975884
Namatanai,-3.67,152.43,85.23,73,31,13.89,PG,1611975885
New Norfolk,-42.78,147.06,71.6,60,75,11.5,AU,1611975885
Benguela,-12.58,13.41,75.43,80,97,2.08,AO,1611975886
Fortuna,40.6,-124.16,48,76,90,9.22,US,1611975886
Chicama,-7.84,-79.15,73.26,69,88,6.4,PE,1611975886
Port Hardy,50.7,-127.42,42.8,87,90,20.71,CA,1611975780
Ghanzi,-21.57,21.78,67.41,87,77,4.23,BW,1611975887
Taltal,-25.4,-70.48,63.55,74,6,1.3,CL,1611975887
Cayenne,4.93,-52.33,77,100,75,9.22,GF,1611975610
Tahoua,14.89,5.27,64.56,25,2,14.25,NE,1611975888
Bilma,18.69,12.92,59.16,30,26,7.36,NE,1611975888
Fare,-16.7,-151.02,80.38,67,100,2.35,PF,1611975889
Yatou,37.15,122.38,41.56,62,0,7.81,CN,1611975889
George Town,5.41,100.34,84.2,65,20,8.05,MY,1611975830
Hilo,19.73,-155.09,75.2,73,90,6.91,US,1611975890
Beloha,-25.17,45.05,76.37,79,0,5.37,MG,1611975890
Saldanha,-33.01,17.94,65.12,83,46,12.03,ZA,1611975891
Parkhill,43.15,-81.68,25,79,97,7,CA,1611975891
Chui,-33.7,-53.46,67.73,92,4,1.74,UY,1611975891
Santiago del Estero,-27.8,-64.26,85.15,48,76,7.16,AR,1611975892
Kaitangata,-46.28,169.85,57.99,71,24,11.01,NZ,1611975893
Termoli,41.99,14.99,43,96,62,1.99,IT,1611975893
Hermitage,41.23,-80.45,19.99,67,75,3.44,US,1611975893
Nanortalik,60.14,-45.24,32.22,91,98,7.65,GL,1611975894
Los Llanos de Aridane,28.66,-17.92,64.4,82,75,5.75,ES,1611975894
Safi,32.3,-9.24,57.42,91,18,10.16,MA,1611975895
Khovd,48.01,91.64,14.2,72,100,1.16,MN,1611975895
Itarema,-2.92,-39.92,78.91,84,97,11.34,BR,1611975895
Prainha,-1.8,-53.48,74.41,93,47,3.44,BR,1611975896
Paro,27.43,89.41,42.46,49,0,1.63,BT,1611975896
Arlit,18.74,7.39,55.11,33,0,2.15,NE,1611975896
Karpogory,64,44.45,18.95,97,100,8.1,RU,1611975897
City of San Pedro,14.35,121.02,82.99,57,40,11.5,PH,1611975897
Hong Kong,22.29,114.16,63,63,0,5.99,HK,1611975867
Bengkulu,-3.8,102.27,83.71,65,100,1.61,ID,1611975898
Husavik,66.04,-17.34,20.35,91,59,9.91,IS,1611975898
General Pico,-35.66,-63.76,66.22,65,100,6.11,AR,1611975898
Severiano Melo,-5.78,-37.96,77.68,73,100,10.18,BR,1611975899
Kungurtug,50.6,97.52,18.37,89,100,8.79,RU,1611975899
Kedrovyy,56.17,91.82,-5.8,71,40,17.9,RU,1611975899
Fort Nelson,58.81,-122.7,-11.2,77,75,3.44,CA,1611975605
Peniche,39.36,-9.38,57.99,97,100,15.01,PT,1611975900
Fairbanks,64.84,-147.72,1,77,1,2.86,US,1611975605
Presov,49.17,21.25,30.99,99,100,2.39,SK,1611975901
Shingū,33.73,135.98,42.8,52,40,17.27,JP,1611975901
Macklin,52.33,-109.93,-2.2,100,49,2.3,CA,1611975902
Kwang Binh,17.48,106.6,68.36,86,96,7.9,VN,1611975902
Ostrovnoy,68.05,39.51,8.69,94,100,17.27,RU,1611975903
Varnavino,57.4,45.09,22.64,97,96,9.44,RU,1611975903
Lagos,6.58,3.75,78.3,88,96,3.89,NG,1611975903
Ancud,-41.87,-73.82,54,71,0,16.11,CL,1611975904
Zhigansk,66.77,123.37,-42.75,80,100,3.49,RU,1611975904
Hue,16.47,107.6,73.4,73,40,3.44,VN,1611975905
Ballina,-28.87,153.57,82.99,65,75,10.36,AU,1611975905
Leningradskiy,69.38,178.42,-22.5,85,100,8.3,RU,1611975906
Norman Wells,65.28,-126.83,-34.6,67,40,4.52,CA,1611975906
Nazaré,-13.04,-39.01,72.99,93,94,2.17,BR,1611975907
Caguas,18.23,-66.05,72,88,0,1.01,PR,1611975907
Naze,28.37,129.48,60.8,48,40,16.11,JP,1611975907
Marabu,4.41,114.01,84.2,84,40,9.22,MY,1611975908
Sārangarh,21.6,83.08,66.04,37,0,4.21,IN,1611975908
Lima,-12.04,-77.03,75,78,0,11.5,PE,1611975743
Anzio,41.49,12.62,53.01,81,0,5.75,IT,1611975909
Sioux Lookout,50.1,-91.92,8.6,72,75,5.75,CA,1611975909
Yar-Sale,66.83,70.83,-38.27,82,45,4.25,RU,1611975910
Bariloche,-41.15,-71.31,53.6,71,0,6.91,AR,1611975911
Anzhero-Sudzhensk,56.08,86.03,-18.4,76,0,6.71,RU,1611975911
San Quintín,30.48,-115.95,56.43,75,1,9.91,MX,1611975911
Sola,-13.88,167.55,80.65,84,100,9.8,VU,1611975912
Tiksi,71.69,128.87,-30.55,85,100,5.21,RU,1611975912
Salgar,5.96,-75.97,59,100,40,4.61,CO,1611975913
Chara,56.91,118.26,-30.8,77,64,0.87,RU,1611975913
Soyo,-6.13,12.37,77.94,83,100,5.84,AO,1611975914
San Jose,37.34,-121.89,50,71,40,3.44,US,1611975821
Mingguang,32.78,117.96,51.08,47,0,5.37,CN,1611975915
Ashoknagar,24.57,77.72,53.85,40,0,1.74,IN,1611975916
Iqaluit,63.75,-68.51,-13,70,1,19.57,CA,1611975916
Geraldton,-28.77,114.6,98.6,18,0,18.41,AU,1611975917
Tilichiki,60.47,166.1,-0.92,94,100,11.72,RU,1611975917
Nantucket,41.28,-70.1,21.2,79,75,27.63,US,1611975917
Butaritari,3.07,172.79,80.46,78,99,15.39,KI,1611975918
Aksu,41.12,80.26,21.43,78,0,2.24,CN,1611975918
São Miguel do Araguaia,-13.28,-50.16,72.77,89,100,2.89,BR,1611975918
Caravelas,-17.71,-39.25,75.34,88,0,5.79,BR,1611975919
Port Alfred,-33.59,26.89,64.99,83,6,1.01,ZA,1611975919
Hamadan,34.8,48.51,32.94,92,56,7.34,IR,1611975694
Umluj,25.02,37.27,62.56,49,0,10.22,SA,1611975920
Annau,37.89,58.52,51.8,50,75,9.22,TM,1611975920
Dzhida,50.68,106.18,3.49,90,98,4.74,RU,1611975921
Cabo San Lucas,22.89,-109.91,69.01,82,1,4.61,MX,1611975921
St. George's,12.06,-61.75,77,78,40,13.22,GD,1611975922
Eston,51.15,-108.75,5,85,90,4.61,CA,1611975923
Constitución,-35.33,-72.42,61.45,95,100,8.1,CL,1611975923
Uvalde,29.37,-99.77,62.01,67,90,3.44,US,1611975923
Dingle,11,122.67,76.93,85,100,17.02,PH,1611975924
Bom Sucesso,-21.03,-44.76,68.31,82,100,2.01,BR,1611975924
Monticello,45.31,-93.79,24.8,74,90,13.85,US,1611975924
Purwokerto,-7.42,109.23,78.66,79,100,1.61,ID,1611975925
Whitehorse,60.72,-135.05,0,78,75,10.36,CA,1611975925
Changji,44.02,87.32,1.4,92,40,2.24,CN,1611975925
Longhua,23.61,114.19,72.75,35,0,1.5,CN,1611975926
Ukiah,39.15,-123.21,46.4,76,75,0.89,US,1611975926
Baykit,61.67,96.37,-38.56,75,98,4.36,RU,1611975926
Chakwal,32.93,72.86,46.56,48,0,6.15,PK,1611975927
Buenaventura,3.88,-77.03,64.99,75,94,1.48,CO,1611975928
Yenagoa,4.92,6.26,77.45,92,91,2.62,NG,1611975928
Ilulissat,69.22,-51.1,-0.4,55,0,8.05,GL,1611975929
Nena,11.77,125.42,78.19,82,100,18.41,PH,1611975929
Klaksvík,62.23,-6.59,32,74,90,15.19,FO,1611975930
Durant,33.99,-96.37,52,66,1,5.75,US,1611975930
Broken Hill,-31.95,141.43,78.8,38,1,18.41,AU,1611975930
Acapulco de Juárez,16.86,-99.89,80.6,83,90,5.75,MX,1611975770
Timberlake,37.32,-79.26,26.6,54,1,3.18,US,1611975931
Hīt,33.64,42.83,48.15,62,5,6.31,IQ,1611975931
Allen,41.07,-85.01,24.8,74,75,5.75,US,1611975932
Pevek,69.7,170.31,-29.94,85,16,3.44,RU,1611975932
Marrakesh,31.63,-8.01,53.6,66,0,3.44,MA,1611975933
Coyhaique,-45.58,-72.07,46.4,76,0,2.3,CL,1611975933
‘Ewa Beach,21.32,-158.01,78.8,57,1,10.36,US,1611975933
Coahuayana Viejo,18.73,-103.68,73.27,75,100,1.52,MX,1611975934
Bourail,-21.57,165.48,78.85,73,77,10.6,NC,1611975934
Tūkrah,32.53,20.58,60.15,81,42,18.3,LY,1611975935
Makiwalo,12.51,124.71,75.97,88,100,17.47,PH,1611975935
Berdigestyakh,62.1,126.7,-41.44,78,100,1.1,RU,1611975935
